activity_id,assay_chembl_id,assay_type,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
362975,CHEMBL680028,B,CHEMBL1145020,CHEMBL30973,6.51,=,=,IC50,nM,310.0,IC50,uM,0.31
362980,CHEMBL680028,B,CHEMBL1145020,CHEMBL113985,5.27,=,=,IC50,nM,5390.0,IC50,uM,5.39
364250,CHEMBL674029,F,CHEMBL1127050,CHEMBL419650,4.99,=,=,IC50,nM,10200.0,IC50,uM,10.2
364684,CHEMBL680028,B,CHEMBL1145020,CHEMBL327023,6.26,=,=,IC50,nM,550.0,IC50,uM,0.55
365714,CHEMBL674029,F,CHEMBL1127050,CHEMBL314416,,>,>,IC50,nM,100000.0,IC50,uM,100.0
365715,CHEMBL674029,F,CHEMBL1127050,CHEMBL311609,,>,>,IC50,nM,100000.0,IC50,uM,100.0
366137,CHEMBL680028,B,CHEMBL1145020,CHEMBL115187,6.89,=,=,IC50,nM,130.0,IC50,uM,0.13
366476,CHEMBL677387,B,CHEMBL1130246,CHEMBL92812,8.40,=,=,IC50,nM,4.0,IC50,nM,4.0
367209,CHEMBL674029,F,CHEMBL1127050,CHEMBL309276,5.79,=,=,IC50,nM,1620.0,IC50,uM,1.62
367543,CHEMBL680028,B,CHEMBL1145020,CHEMBL283682,6.03,=,=,IC50,nM,940.0,IC50,uM,0.94
367856,CHEMBL677387,B,CHEMBL1130246,CHEMBL129825,8.13,=,=,IC50,nM,7.4,IC50,nM,7.4
367865,CHEMBL677387,B,CHEMBL1130246,CHEMBL420624,10.00,=,=,IC50,nM,0.1,IC50,nM,0.1
368896,CHEMBL680028,B,CHEMBL1145020,CHEMBL332497,5.42,=,=,IC50,nM,3830.0,IC50,uM,3.83
368901,CHEMBL680028,B,CHEMBL1145020,CHEMBL421047,5.58,=,=,IC50,nM,2640.0,IC50,uM,2.64
368906,CHEMBL680028,B,CHEMBL1145020,CHEMBL113901,5.28,=,=,IC50,nM,5220.0,IC50,uM,5.22
368911,CHEMBL680028,B,CHEMBL1145020,CHEMBL281300,6.23,=,=,IC50,nM,590.0,IC50,uM,0.59
369171,CHEMBL677387,B,CHEMBL1130246,CHEMBL129579,8.32,=,=,IC50,nM,4.8,IC50,nM,4.8
369172,CHEMBL677387,B,CHEMBL1130246,CHEMBL126893,8.06,=,=,IC50,nM,8.8,IC50,nM,8.8
369173,CHEMBL677387,B,CHEMBL1130246,CHEMBL127082,8.85,=,=,IC50,nM,1.4,IC50,nM,1.4
369986,CHEMBL674029,F,CHEMBL1127050,CHEMBL309513,,>,>,IC50,nM,100000.0,IC50,uM,100.0
369987,CHEMBL674029,F,CHEMBL1127050,CHEMBL79970,5.03,=,=,IC50,nM,9300.0,IC50,uM,9.3
369989,CHEMBL674029,F,CHEMBL1127050,CHEMBL81480,5.54,=,=,IC50,nM,2900.0,IC50,uM,2.9
369990,CHEMBL674029,F,CHEMBL1127050,CHEMBL82214,5.08,=,=,IC50,nM,8300.0,IC50,uM,8.3
370697,CHEMBL677387,B,CHEMBL1130246,CHEMBL128759,7.92,=,=,IC50,nM,12.0,IC50,nM,12.0
371313,CHEMBL674029,F,CHEMBL1127050,CHEMBL79621,4.46,=,=,IC50,nM,35000.0,IC50,uM,35.0
372730,CHEMBL674029,F,CHEMBL1127050,CHEMBL84141,4.28,=,=,IC50,nM,53000.0,IC50,uM,53.0
374988,CHEMBL677387,B,CHEMBL1130246,CHEMBL126372,9.04,=,=,IC50,nM,0.92,IC50,nM,0.92
374989,CHEMBL673451,B,CHEMBL1130246,CHEMBL126372,6.64,=,=,IC50,nM,227.0,IC50,nM,227.0
375981,CHEMBL680028,B,CHEMBL1145020,CHEMBL157128,6.82,=,=,IC50,nM,150.0,IC50,uM,0.15
